RK,ID,NAME,TEAM,BYE,AGE,POS,POS RK,PTS,ADP
206,11196, Tim Tebow,JAX,7,33,TE,TE26,27.77,157.8
208,22493, Trey Lance,SF,6,21,QB,QB26,185.57,157.9
208,22546, Rhamondre Stevenson,NE,14,23,RB,RB66,49,157.9
210,21786, Adam Trautman,NO,6,24,TE,TE27,106.99,158
211,19457, Blake Jarwin,DAL,7,26,TE,TE28,128.89,158.1
212,19207, Tim Patrick,DEN,11,27,WR,WR73,100.55,158.5
213,20033, Jason Sanders,MIA,14,25,K,K6,133.6,158.6
214,20841, Daniel Jones,NYG,10,24,QB,QB27,270.84,158.9
215,16781, Nelson Agholor,NE,14,28,WR,WR74,170.88,159.1
216,17961, Sterling Shepard,NYG,10,28,WR,WR75,151.46,159.5
217,20006, Russell Gage,ATL,6,25,WR,WR76,154.65,159.9
218,13337, Mark Ingram II,HOU,10,31,RB,RB67,53.29,160.1
219,8283, Ryan Fitzpatrick,WAS,9,38,QB,QB28,278.67,160.2
219,8, Cleveland Browns,CLE,13,,DST,DST15,89,160.2
221,16311, Derek Carr,LV,8,30,QB,QB29,275.33,160.4
222,20500, Darrel Williams,KC,12,26,RB,RB68,90.68,160.7
223,1, Arizona Cardinals,ARI,12,,DST,DST16,83,160.9
223,20064, Justin Jackson,LAC,7,25,RB,RB69,83.02,160.9
225,21797, La'Mical Perine,NYJ,6,23,RB,RB70,66.47,161.2
226,21005, Parris Campbell,IND,14,23,WR,WR77,129.13,161.4
227,16003, Sammy Watkins,BAL,8,27,WR,WR78,93.7,161.5
228,21686, Jalen Reagor,PHI,14,22,WR,WR79,144.19,162.3
228,17053, Malcolm Brown,MIA,14,28,RB,RB71,79.72,162.3
230,22495, Zach Wilson,NYJ,6,21,QB,QB30,255.91,162.4
231,17922, Jared Goff,DET,9,26,QB,QB31,245.67,162.8
232,16041, Jimmy Garoppolo,SF,6,29,QB,QB32,133.78,163.4
233,21741, Denzel Mims,NYJ,6,23,WR,WR80,137.22,163.5
233,18993, Samaje Perine,CIN,10,25,RB,RB72,59.43,163.5
235,14697, Greg Zuerlein,DAL,7,33,K,K7,137.7,163.8
236,19812, Sam Darnold,CAR,13,24,QB,QB33,246.14,163.9
237,18478, Wil Lutz,NO,6,26,K,K8,129,164
238,21854, Anthony McFarland Jr.,PIT,7,23,RB,RB73,37.32,164.1
239,21739, Van Jefferson,LAR,11,24,WR,WR81,123.49,164.8
239,19976, Marquez Valdes-Scantling,GB,13,26,WR,WR82,105.85,164.8
241,20039, Boston Scott,PHI,14,26,RB,RB74,70.71,165
242,19828, Sony Michel,NE,14,26,RB,RB75,96.02,165.3
243,22108, Tyler Bass,BUF,7,24,K,K9,136.6,165.5
244,69, New Orleans Saints,NO,6,,DST,DST17,106,165.8
244,12845, A.J. Green,ARI,12,32,WR,WR83,125.31,165.8
246,18996, Wayne Gallman Jr.,SF,6,26,RB,RB76,62,166
247,16668, Carlos Hyde,JAX,7,30,RB,RB77,49.43,166.3
248,8750, Ryan Succop,TB,9,34,K,K10,135.2,166.5
248,11063, Emmanuel Sanders,BUF,7,34,WR,WR84,150.15,166.5
250,38, Chicago Bears,CHI,10,,DST,DST18,92,167.1
251,19017, Josh Reynolds,TEN,13,26,WR,WR85,99.53,167.3
252,49, Denver Broncos,DEN,11,,DST,DST19,93,167.4
253,84, Los Angeles Chargers,LAC,7,,DST,DST20,90,167.6
254,75, New York Giants,NYG,10,,DST,DST21,81,167.7
255,55, Kansas City Chiefs,KC,12,,DST,DST22,106,168
255,16510, Jerick McKinnon,KC,12,29,RB,RB78,62.54,168
257,20943, Darius Slayton,NYG,10,24,WR,WR86,112.85,168.6
258,5, Carolina Panthers,CAR,13,,DST,DST23,85,168.7
258,20762, Travis Fulgham,PHI,14,25,WR,WR87,75.7,168.7
260,19822, Kerryon Johnson,PHI,14,23,RB,RB79,44.93,169.5
261,67, Minnesota Vikings,MIN,7,,DST,DST24,92,169.9
262,549, Matt Prater,ARI,12,36,K,K11,125.2,170.1
263,2, Atlanta Falcons,ATL,6,,DST,DST25,79,170.7
264,1410, Robbie Gould,SF,6,38,K,K12,130.5,170.9
265,18957, D'Onta Foreman,TEN,13,25,RB,RB80,24.85,171.4
266,14996, Brandon McManus,DEN,11,29,K,K13,121.2,171.7
267,19989, Daniel Carlson,LV,8,26,K,K14,128.5,172.9
268,16301, Cairo Santos,CHI,10,29,K,K15,123,173.2
269,20144, Michael Badgley,LAC,7,25,K,K16,125.7,174.1
270,21519, Joey Slye,CAR,13,25,K,K17,120.6,174.3
270,17139, Josh Lambo,JAX,7,30,K,K18,115.1,174.3
272,1694, Mason Crosby,GB,13,36,K,K19,123.7,174.5
273,20769, Matt Gay,LAR,11,27,K,K20,128.2,174.6
274,17215, Jason Myers,SEA,9,30,K,K21,129.1,174.7
275,16191, Chris Boswell,PIT,7,30,K,K22,122.4,174.8
276,13961, Randy Bullock,DET,9,31,K,K23,103.5,176.1
277,26, Philadelphia Eagles,PHI,14,,DST,DST26,96,177
278,16787, Breshad Perriman,DET,9,27,WR,WR88,139.1,178
278,82, New York Jets,NYJ,6,,DST,DST27,89,178
280,52, Jacksonville Jaguars,JAX,7,,DST,DST28,88,179
280,20876, Jakobi Meyers,NE,14,24,WR,WR89,134.23,179
282,11, Detroit Lions,DET,9,,DST,DST29,84,180
282,22685, Terrace Marshall Jr.,CAR,13,20,WR,WR90,133.73,180
284,17048, Tyrell Williams,DET,9,29,WR,WR91,133.05,181
284,13, Houston Texans,HOU,10,,DST,DST30,83,181
286,7, Cincinnati Bengals,CIN,10,,DST,DST31,82,182
286,13227, Randall Cobb,HOU,10,30,WR,WR92,123.31,182
288,83, Las Vegas Raiders,LV,8,,DST,DST32,82,183
288,3943, DeSean Jackson,LAR,11,34,WR,WR93,114.74,183
290,20924, Hunter Renfrow,LV,8,25,WR,WR94,112.2,184
291,22575, Amari Rodgers,GB,13,21,WR,WR95,107.29,185
292,18089, Rashard Higgins,CLE,13,26,WR,WR96,104.73,186
293,19172, Zach Pascal,IND,14,26,WR,WR97,98.39,187
294,18047, Demarcus Robinson,KC,12,26,WR,WR98,96.5,188
295,21729, Quintez Cephus,DET,9,23,WR,WR99,95.1,189
296,21448, Jalen Guyton,LAC,7,24,WR,WR100,94.97,190
297,21759, K.J. Hamler,DEN,11,21,WR,WR101,94.32,191
298,21142, Olamide Zaccheaus,ATL,6,23,WR,WR102,92.58,192
299,19864, Anthony Miller,CHI,10,26,WR,WR103,92.33,193
300,19865, James Washington,PIT,7,25,WR,WR104,89.6,194
