RK,ID,NAME,TEAM,POS,GAMES,PASSING YDS,PASSING TD,PASSING INT,RUSHING YDS,RUSHING TD,RECEIVING RECEPTIONS,RECEIVING YARDS,RECEIVING TDS,D - SACKS,D - INTERCEPTIONS,D - FF,D - FR,PTS/GAME,TOTAL POINTS
1,19801, Josh Allen,BUF,QB,16,4544,37,10,421,8,1,12,1,0,0,0,0,24.7,395.06
2,2593, Aaron Rodgers,GB,QB,16,4299,48,5,149,3,1,-6,0,0,0,0,0,23.9,382.26
3,20889, Kyler Murray,ARI,QB,16,3971,26,12,819,11,0,0,0,0,0,0,0,23.7,378.74
4,18890, Patrick Mahomes,KC,QB,15,4740,38,6,308,2,0,0,0,0,0,0,0,25,374.4
5,18857, Deshaun Watson,HOU,QB,16,4823,33,7,444,3,0,0,0,0,0,0,0,23.1,369.32
6,14536, Russell Wilson,SEA,QB,16,4212,40,13,513,2,0,0,0,0,0,0,0,22.5,359.78
7,13799, Ryan Tannehill,TEN,QB,16,3819,33,7,266,7,1,0,0,0,0,0,0,21.5,343.36
8,4314, Tom Brady,TB,QB,16,4633,40,12,6,3,0,0,0,0,0,0,0,21.1,337.92
9,21681, Justin Herbert,LAC,QB,15,4336,31,10,234,5,0,0,0,0,0,0,0,22.2,332.84
10,19781, Lamar Jackson,BAL,QB,15,2757,26,9,1005,7,0,0,0,0,0,0,0,22.2,332.78
11,17959, Derrick Henry,TEN,RB,16,0,0,0,2027,17,19,114,0,0,0,0,0,19.6,314.1
12,14252, Kirk Cousins,MIN,QB,16,4265,35,13,156,1,0,0,0,0,0,0,0,19.1,306.2
13,18878, Alvin Kamara,NO,RB,15,0,0,0,932,16,83,756,5,0,0,0,0,19.7,294.8
14,18872, Dalvin Cook,MIN,RB,14,0,0,0,1557,16,44,361,1,0,0,0,0,21,293.8
15,732, Matt Ryan,ATL,QB,16,4581,26,11,92,2,0,0,0,0,0,0,0,17.5,280.44
16,16311, Derek Carr,LV,QB,16,4103,27,9,140,3,0,0,0,0,0,0,0,17,272.12
17,3807, Ben Roethlisberger,PIT,QB,15,3803,33,10,11,0,0,0,0,0,0,0,0,17.8,267.22
18,9038, Matthew Stafford,DET,QB,16,4084,26,10,112,0,0,0,0,0,0,0,0,16.3,260.56
19,13320, Cam Newton,NE,QB,15,2657,8,10,592,12,2,35,1,0,0,0,0,17.3,258.98
20,19790, Baker Mayfield,CLE,QB,16,3563,26,8,165,1,1,6,0,0,0,0,0,15.5,247.62
21,16470, Davante Adams,GB,WR,14,0,0,0,0,0,115,1374,18,0,0,0,0,17.4,243.4
22,18082, Tyreek Hill,KC,WR,15,0,0,0,123,2,87,1276,15,0,0,1,0,16.1,241.9
23,16497, Teddy Bridgewater,CAR,QB,15,3733,15,11,279,5,0,0,0,0,0,0,0,16.1,241.22
24,17922, Jared Goff,LAR,QB,15,3952,20,13,99,4,0,0,0,0,0,0,0,16,239.98
25,8244, Philip Rivers,IND,QB,16,4169,24,11,-8,0,0,0,0,0,0,0,0,15,239.96
26,21682, Jonathan Taylor,IND,RB,15,0,0,0,1169,11,36,299,1,0,0,0,0,14.5,216.8
27,19045, Aaron Jones,GB,RB,14,0,0,0,1104,9,47,355,2,0,0,0,0,15.1,211.9
28,20882, David Montgomery,CHI,RB,15,0,0,0,1070,8,54,438,2,0,0,0,0,14.1,210.8
29,7242, Drew Brees,NO,QB,12,2942,24,6,-2,2,0,0,0,0,0,0,0,17.5,209.48
30,15048, Travis Kelce,KC,TE,15,4,0,0,0,0,105,1416,11,0,0,0,0,13.9,207.76
31,16906, Stefon Diggs,BUF,WR,16,0,0,0,1,0,127,1535,8,0,0,0,0,12.6,201.6
32,21970, James Robinson,JAX,RB,14,0,0,0,1070,7,49,344,3,0,0,0,0,14.4,201.4
33,17920, Carson Wentz,PHI,QB,12,2620,16,15,276,5,0,0,0,0,0,0,0,16.5,198.4
34,20824, Josh Jacobs,LV,RB,15,0,0,0,1065,12,33,238,0,0,0,0,0,13.2,198.3
35,19798, Nick Chubb,CLE,RB,12,0,0,0,1067,12,16,150,0,0,0,0,0,16,191.7
36,19802, Calvin Ridley,ATL,WR,15,0,0,0,1,0,90,1374,9,0,0,0,0,12.8,191.5
37,20981, Devin White,TB,ILB,15,0,0,0,0,0,0,0,0,9,0,2,1,12.7,189.9
38,20875, DK Metcalf,SEA,WR,16,0,0,0,0,0,83,1303,10,0,0,0,0,11.8,188.3
39,21685, Justin Jefferson,MIN,WR,16,0,0,0,2,0,88,1400,7,0,0,0,0,11.6,186.2
40,20859, Drew Lock,DEN,QB,13,2933,16,15,160,3,0,0,0,0,0,0,0,13.9,181.32
41,18944, Kareem Hunt,CLE,RB,16,0,0,0,841,6,38,304,5,0,0,0,0,11.3,180.5
42,20841, Daniel Jones,NYG,QB,14,2943,11,10,423,1,0,0,0,0,0,0,0,12.9,180.02
43,15534, Adam Thielen,MIN,WR,15,0,0,0,15,0,74,925,14,0,0,0,0,12,180
44,16597, Mike Evans,TB,WR,16,0,0,0,0,0,70,1006,13,0,0,0,0,11.2,178.6
45,21693, Joe Burrow O,CIN,QB,10,2688,13,5,142,3,0,0,0,0,0,0,0,17.4,173.72
46,14986, DeAndre Hopkins,ARI,WR,16,0,0,0,1,0,115,1407,6,0,0,0,0,10.8,172.8
47,17923, Ezekiel Elliott,DAL,RB,15,0,0,0,979,6,52,338,2,0,0,0,0,11.4,171.7
48,16964, Darren Waller,LV,TE,16,0,0,0,0,0,107,1196,9,0,0,0,0,10.7,171.6
49,21042, A.J. Brown,TEN,WR,14,0,0,0,0,0,70,1075,11,0,0,0,0,12.2,171.5
50,18916, T.J. Watt,PIT,OLB,15,0,0,0,0,0,0,0,0,15,1,1,0,11.4,170.55
51,19827, Roquan Smith,CHI,ILB,16,0,0,0,0,0,0,0,0,4,2,1,0,10.6,169.7
52,18003, Kenyan Drake,ARI,RB,15,0,0,0,955,10,25,137,0,0,0,0,0,11.1,167.2
53,16776, Melvin Gordon III,DEN,RB,15,0,0,0,986,9,32,158,1,0,0,0,0,11.1,166.4
54,21861, Antonio Gibson,WAS,RB,14,0,0,0,795,11,36,247,0,0,0,0,0,11.9,166.2
55,16830, Tyler Lockett,SEA,WR,16,0,0,0,0,0,100,1054,10,0,0,0,0,10.3,165.4
56,16263, Allen Robinson II,CHI,WR,16,0,0,0,-1,0,102,1250,6,0,0,0,0,10.1,160.9
57,18052, Blake Martinez,NYG,ILB,16,0,0,0,0,0,0,0,0,3,1,2,1,10,160.3
58,19565, Younghoe Koo,ATL,K,15,0,0,0,0,0,0,0,0,0,0,0,0,10.7,160
58,20033, Jason Sanders,MIA,K,16,0,0,0,0,0,0,0,0,0,0,0,0,10,160
60,17967, Joe Schobert,JAX,ILB,16,0,0,0,0,0,0,0,0,2.5,3,2,0,10,159.7
61,20880, Gardner Minshew II,JAX,QB,9,2259,16,5,153,1,1,0,0,0,0,0,0,17.7,159.66
62,18956, Zach Cunningham,HOU,OLB,16,0,0,0,0,0,0,0,0,3,0,1,0,9.9,159.1
63,19861, Ronald Jones II,TB,RB,14,0,0,0,978,7,28,165,1,0,0,0,0,11.3,158.3
64,17926, Jaylon Smith,DAL,ILB,16,0,0,0,0,0,0,0,0,1.5,1,1,3,9.8,156.65
65,14871, Robert Woods,LAR,WR,16,0,0,0,155,2,90,936,6,0,0,0,0,9.7,155.1
66,18811, Mitchell Trubisky,CHI,QB,10,2055,16,8,195,1,0,0,0,0,0,0,0,15.4,153.7
67,21752, Chase Claypool,PIT,WR,16,0,0,0,16,2,62,873,9,0,0,0,0,9.6,152.9
68,8283, Ryan Fitzpatrick,MIA,QB,9,2091,13,8,151,2,1,0,0,0,0,0,0,17,152.74
69,19989, Daniel Carlson,LV,K,16,0,0,0,0,0,0,0,0,0,0,0,0,9.5,152
70,13870, Marvin Jones Jr.,DET,WR,16,0,0,0,0,0,76,978,9,0,0,0,0,9.5,151.8
71,19852, Darius Leonard,IND,OLB,14,0,0,0,0,0,0,0,0,3,0,3,2,10.8,151.6
72,17983, Deion Jones,ATL,ILB,16,0,0,0,0,0,0,0,0,4.5,2,2,1,9.5,151.35
73,16568, Brandin Cooks,HOU,WR,15,0,0,0,0,0,81,1150,6,0,0,0,0,10.1,151
73,14, Indianapolis Colts,IND,DST,16,0,0,0,0,0,0,0,0,40,15,14,11,9.4,151
